,en_US,nl_NL
LanguageName,Language:,Taal:
EnglishName,English,Engels
DutchName,Dutch,Nederlands
,,
SettingsLabel,Settings,Instellingen
ThemeLabel,Dark Mode:,Duister Thema:
DiaryLabel,Diary View:,Dagboek Uiterlijk:
DiaryNormal,Normal,Normaal
DiaryCompact,Compact,Compact
ManageLabel,Manage Labels,Labels Beheren
,,
Adj_0,Big,Grote
Adj_1,Small,Kleine
Adj_2,Blue,Blauw
Adj_3,Red,Rood
Adj_4,Tiny,Minuscuul
Adj_5,Tired,Vermoeide
Adj_6,Angry,Boze
Adj_7,Rotten,Verrotte
Adj_8,Cringing ,Ineengekrompen
Adj_9,Happy,Blije
,,
Noun_0,Bus,Bus
Noun_1,Lego,Lego
Noun_2,Avocado,Avocado
Noun_3,Bird,Vogel
Noun_4,Phone,Telefoon
Noun_5,Society,Samenleving
Noun_6,Apple,Appel
Noun_7,Tree,Boom
Noun_8,Person,Persoon
Noun_9,Book,Boek
